5794	n07877187
4890	n02925519
2388	n03558404
9791	n06863751
11338	n03024882
5191	n03036022
7328	n02049088
4344	n09439120
10305	n01898731
7086	n04261116
3002	n10453533
5829	n07460104
6316	n07848093
5989	n00914632
2611	n04489008
9389	n02977438
11753	n00434075
9154	n03931980
3481	n04383130
9754	n04224155
7377	n04037873
189	n04610879
7928	n05015117
3189	n04090923
9293	n03046802
1835	n03781244
5077	n12180456
5647	n02501583
2454	n03655295
4006	n07684289
28	n07942152
1984	n03127925
5918	n10474645
7731	n12655869
11346	n09225943
7938	n05687338
9806	n00689062
3050	n14340287
8263	n05634059
4157	n10751265
1480	n13765749
5204	n00880662
4744	n09475044
8831	n07268413
6011	n14302005
10277	n00830099
5316	n02973904
3305	n14854581
9510	n03678558
5262	n15182189
2491	n03264906
813	n07262108
11760	n09432163
2548	n05098942
2355	n02690809
11550	n06437137
11507	n08285246
9718	n03795976
5320	n07755411
3485	n04333869
94	n04530566
9046	n04561287
5685	n10014939
8232	n00001740
9635	n03295246
4657	n04050410
5127	n01325658
3129	n14046202
743	n07921360
9549	n03246454
551	n05528604
2609	n05750163
5894	n00081836
5560	n08794366
10375	n11128394
6206	n00986938
1274	n05556325
2218	n03287733
2531	n00375625
4298	n05559727
3432	n00113113
11414	n01118495
1052	n02796995
814	n08182379
7057	n04287747
2166	n09627906
9203	n06712325
1827	n07303585
1758	n01017320
11645	n00866606
9218	n13270545
5492	n09354984
4060	n00488225
3710	n10023039
4402	n02878222
1575	n07695878
10070	n14280504
8043	n14515344
10468	n09953052
6251	n03624400
7896	n00741478
1768	n06410904
3540	n04384910
6280	n07583066
10521	n05870055
9587	n04070545
3451	n04223066
3552	n04462318
9038	n11431302
2834	n10696251
3773	n04565375
10539	n07755089
7438	n10096217
5111	n13376764
1413	n10153414
6246	n03418915
9819	n08146593
2059	n04347519
5957	n07803545
823	n02802544
1131	n03880531
8088	n12454159
5815	n07788885
48	n09918554
460	n03637318
1509	n08619620
7306	n06477371
10797	n03202940
4919	n04183329
6219	n11467018
2553	n03187037
9357	n03170635
3581	n03536348
3721	n02855390
4942	n08584787
9174	n09853467
2831	n02892767
76	n14820180
3967	n02654745
5075	n00508091
1763	n01662784
4022	n03117199
10867	n03385295
2942	n02081571
5112	n10698970
5032	n03920181
8144	n03620353
10136	n06458836
3015	n04598792
10724	n14409489
7845	n00020090
10617	n09067277
8918	n13025647
9201	n00456899
11579	n13874927
7047	n00129743
199	n09062184
6173	n03996655
10451	n06632511
2808	n09919200
6339	n04973957
1653	n09884815
10256	n10587089
658	n10655169
6007	n03506560
3150	n00220522
8589	n14500047
5620	n14796748
2775	n03241093
179	n10223177
3682	n09894143
8646	n04216634
5237	n13268146
803	n03565991
11084	n08622950
3058	n06065423
5280	n13413294
388	n15052555
8895	n04912982
9135	n02893418
6237	n03455279
2987	n08645963
4894	n02756098
1638	n03724066
1952	n02156140
8151	n07692887
4223	n03580615
